id,decision_date,ticker,stock_name,decision,reason,market_analysis,composite_score,rise_probability,rsi,adx,vix_value,created_at,updated_at
44,2026-03-09,HON,허니웰 인터내셔널,HOLD,"ML 상승확률 5.96%로 낮고, MACD 매수신호 없으며 거래량이 0.07배로 극도로 낮아 매수 진입 시 유동성 리스크가 크고, 현재가가 SMA20 대비 하회하여 모멘텀이 약화되고 있습니다.","VIX 29.49로 시장 공포가 높은 상태이며, 전반적으로 거래량이 5일 평균 대비 극도로 낮아(0.07~0.24배) 유동성 부족과 관망세가 뚜렷합니다. 대부분 종목이 골든크로스 발생에도 현재가가 SMA20을 크게 하회하고 있어 하락 추세 전환 가능성이 높으며, 이런 환경에서는 매우 선별적인 매수만 정당화됩니다.",0.4042,5.96,48.79,44.88,29.49,2026-03-09T14:55:12.257583+00:00,2026-03-09T23:55:12.15354+00:00
45,2026-03-09,MU,마이크론,HOLD,"현재가 $370.30이 SMA20($409.28) 대비 9.5% 하회하여 골든크로스 무효화 상태이고, MACD -4.91로 하락 모멘텀이 강하며 반도체 섹터에서 AMAT도 HOLD인 상황에서 섹터 전반의 약세가 확인됩니다.","VIX 29.49로 시장 공포가 높은 상태이며, 전반적으로 거래량이 5일 평균 대비 극도로 낮아(0.07~0.24배) 유동성 부족과 관망세가 뚜렷합니다. 대부분 종목이 골든크로스 발생에도 현재가가 SMA20을 크게 하회하고 있어 하락 추세 전환 가능성이 높으며, 이런 환경에서는 매우 선별적인 매수만 정당화됩니다.",0.3892,5.23,42.63,25.46,29.49,2026-03-09T14:55:12.587297+00:00,2026-03-09T23:55:12.46163+00:00
47,2026-03-10,AMAT,어플라이드 머티리얼즈,HOLD,"골든크로스가 발생했으나 현재가($338.94)가 SMA20($362.26)을 크게 하회하고 있어 골든크로스의 유효성이 의심되며, MACD도 시그널 하방에 위치해 하락 모멘텀이 지속 중입니다. 반도체 섹터 변동성이 높은 VIX 환경에서 추가 하락 리스크가 있습니다.","VIX 25.5는 시장 불안감이 평균 이상으로 높은 상태이며, 모든 종목의 거래량이 5일 평균 대비 0.0배로 데이터 이상이 의심되어 거래량 기반 신뢰도가 낮습니다. 전반적으로 기술적 신호가 혼재되어 있어 선별적 매수가 필요한 환경입니다.",0.4525,8.65,47.51,27.64,25.5,2026-03-10T12:10:56.049428+00:00,2026-03-10T23:34:41.85563+00:00
48,2026-03-10,NFLX,넷플릭스,HOLD,"RSI 71.65로 과매수 구간에 진입해 있어 단기 조정 가능성이 높으며, 과매수 상태의 종목이 매수 후보에 포함된 것은 시스템 오류 가능성이 있습니다. MACD 매수신호와 강한 ADX(41.05)는 긍정적이나, 과매수 리스크가 우선합니다.","VIX 25.5는 시장 불안감이 평균 이상으로 높은 상태이며, 모든 종목의 거래량이 5일 평균 대비 0.0배로 데이터 이상이 의심되어 거래량 기반 신뢰도가 낮습니다. 전반적으로 기술적 신호가 혼재되어 있어 선별적 매수가 필요한 환경입니다.",0.4336,11.35,71.65,41.05,25.5,2026-03-10T12:10:56.269833+00:00,2026-03-10T23:34:42.147655+00:00
49,2026-03-10,PEP,펩시코,BUY,"방어적 소비재로서 VIX 25.5의 불안정한 시장에서 포트폴리오 안정성을 제공하며, 현재가($161.53)가 SMA50($160.69) 바로 위에서 지지를 받고 있고 ML 예측 상승률 7.22%가 합리적입니다. RSI 48.88로 중립 구간이라 추가 상승 여력이 있습니다.","VIX 25.5는 시장 불안감이 평균 이상으로 높은 상태이며, 모든 종목의 거래량이 5일 평균 대비 0.0배로 데이터 이상이 의심되어 거래량 기반 신뢰도가 낮습니다. 전반적으로 기술적 신호가 혼재되어 있어 선별적 매수가 필요한 환경입니다.",0.3969,7.22,48.88,25.08,25.5,2026-03-10T12:10:56.470193+00:00,2026-03-10T23:34:42.342436+00:00
50,2026-03-10,CMCSA,컴캐스트,BUY,"RSI 52.86으로 강세 진입 초기 단계이며, 현재가($31.04)가 SMA20($31.35)과 근접해 이동평균선 수렴 후 상방 돌파 가능성이 있습니다. ADX가 14.19로 추세가 약하지만 ML 예측 상승확률 9.03%와 밸류에이션 매력이 있어 소규모 진입이 유효합니다.","VIX 25.5는 시장 불안감이 평균 이상으로 높은 상태이며, 모든 종목의 거래량이 5일 평균 대비 0.0배로 데이터 이상이 의심되어 거래량 기반 신뢰도가 낮습니다. 전반적으로 기술적 신호가 혼재되어 있어 선별적 매수가 필요한 환경입니다.",0.3685,9.03,52.86,14.19,25.5,2026-03-10T12:10:56.69007+00:00,2026-03-10T23:34:42.5401+00:00
51,2026-03-10,MDLZ,몬델리즈,HOLD,"SMA20과 SMA50이 동일($59.54)하여 방향성이 불분명하고, ADX 16.27로 추세가 매우 약해 횡보 구간에 갇혀 있습니다. MACD도 하방이며 감성분석 데이터가 없어 촉매 부재로 진입 시점이 아닙니다. PEP와 같은 소비재 섹터 중복도 고려했습니다.","VIX 25.5는 시장 불안감이 평균 이상으로 높은 상태이며, 모든 종목의 거래량이 5일 평균 대비 0.0배로 데이터 이상이 의심되어 거래량 기반 신뢰도가 낮습니다. 전반적으로 기술적 신호가 혼재되어 있어 선별적 매수가 필요한 환경입니다.",0.3136,6.88,44.67,16.27,25.5,2026-03-10T12:10:56.904716+00:00,2026-03-10T23:34:42.742473+00:00
52,2026-03-10,COST,코스트코,HOLD,"ML 예측 상승확률 5.56%로 후보 중 가장 낮고, ADX 19.52로 추세가 약하며 MACD가 시그널 하방으로 전환 중입니다. $1,005 고가 종목으로 VIX 25.5 환경에서 하방 리스크 대비 보상이 불충분하며, PEP로 소비재 섹터 노출이 이미 확보되어 있습니다.","VIX 25.5는 시장 불안감이 평균 이상으로 높은 상태이며, 모든 종목의 거래량이 5일 평균 대비 0.0배로 데이터 이상이 의심되어 거래량 기반 신뢰도가 낮습니다. 전반적으로 기술적 신호가 혼재되어 있어 선별적 매수가 필요한 환경입니다.",0.3136,5.56,56.77,19.52,25.5,2026-03-10T12:10:57.090737+00:00,2026-03-10T23:34:42.933564+00:00
59,2026-03-11,NFLX,넷플릭스,BUY,"골든크로스 확인, MACD 매수신호, ADX 39.34로 강한 상승추세가 유효하며, ML 상승확률 64.49%로 후보 중 가장 높고 현재가(96.94)가 SMA20(90.40)·SMA50(85.28) 위에 위치해 기술적 신호가 유효하다. 거래량 데이터 이상(0.0배)은 시스템 오류 가능성이 있으나 나머지 지표가 일관되게 강세를 지지한다.","VIX 24.93은 시장 불안이 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 다만 공포가 극단적(30+)이지는 않아 강한 기술적·펀더멘털 근거가 있는 종목은 진입 가능하다.",0.4932,64.49,67.43,39.34,24.93,2026-03-11T12:51:32.470021+00:00,2026-03-11T23:35:05.116229+00:00
60,2026-03-11,PYPL,페이팔,HOLD,"골든크로스 미발생, 현재가(45.02)가 SMA50(46.50) 하회로 하락 압력 존재하며, 감성분석이 -0.257로 부정적이고 ADX 23.2로 뚜렷한 추세가 없어 MACD 매수신호만으로는 진입 근거가 부족하다.","VIX 24.93은 시장 불안이 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 다만 공포가 극단적(30+)이지는 않아 강한 기술적·펀더멘털 근거가 있는 종목은 진입 가능하다.",0.3822,17.05,44.08,23.2,24.93,2026-03-11T12:51:32.67979+00:00,2026-03-11T23:35:05.403572+00:00
61,2026-03-11,PEP,펩시코,HOLD,"골든크로스가 있으나 현재가(160.78)가 SMA20(165.03)을 크게 하회하고 MACD가 데드크로스 상태(-0.5617 < Signal 0.6107)로 하락 모멘텀이 진행 중이며, ML 상승확률 7.12%로 매우 낮아 매수 타이밍이 아니다.","VIX 24.93은 시장 불안이 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 다만 공포가 극단적(30+)이지는 않아 강한 기술적·펀더멘털 근거가 있는 종목은 진입 가능하다.",0.3612,7.12,47.45,23.99,24.93,2026-03-11T12:51:32.862346+00:00,2026-03-11T23:35:05.599993+00:00
62,2026-03-11,AMAT,어플라이드 머티리얼즈,HOLD,"현재가(345.88)가 SMA20(361.09)을 크게 하회해 골든크로스의 유효성이 의심되고, MACD가 강한 데드크로스(-2.95 vs Signal 2.30)를 보이며, ML 상승확률 2.02%로 극히 낮아 단기 하락 리스크가 크다.","VIX 24.93은 시장 불안이 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 다만 공포가 극단적(30+)이지는 않아 강한 기술적·펀더멘털 근거가 있는 종목은 진입 가능하다.",0.3106,2.02,50.08,25.3,24.93,2026-03-11T12:51:33.040454+00:00,2026-03-11T23:35:05.799901+00:00
67,2026-03-12,CMCSA,컴캐스트,HOLD,"ML 상승확률 8.89%로 가장 높고 골든크로스가 유효하나, 현재가($30.57)가 SMA20($31.29) 하회, ADX 13.46으로 추세가 매우 약하며 MACD 매수신호 미발생으로 횡보 구간에서의 진입은 리스크가 큽니다.","VIX 24.2로 시장 불안감이 다소 높은 상태이며, 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 데이터 이상 가능성이 있고, MACD가 전 종목 매수신호 미발생 상태로 단기 모멘텀이 부재한 환경입니다.",0.3749,8.89,48.13,13.46,24.23,2026-03-12T12:42:18.443195+00:00,2026-03-12T23:35:11.316131+00:00
68,2026-03-12,PEP,펩시코,BUY,"방어적 소비재로 VIX 24 환경에서 안전자산 역할이 가능하고, 감성분석 긍정적이며 ML 예측가 대비 약 7.9% 상승여력이 있습니다. 현재가가 SMA50($161.23) 근처에서 지지받고 있어 골든크로스 초기 진입으로 유효하며, ADX 23.4로 추세가 형성되기 시작하는 구간입니다.","VIX 24.2로 시장 불안감이 다소 높은 상태이며, 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 데이터 이상 가능성이 있고, MACD가 전 종목 매수신호 미발생 상태로 단기 모멘텀이 부재한 환경입니다.",0.3602,7.88,46.23,23.4,24.23,2026-03-12T12:42:18.782159+00:00,2026-03-12T23:35:11.595839+00:00
69,2026-03-12,HON,허니웰 인터내셔널,BUY,"ADX 39.62로 5개 종목 중 유일하게 강한 추세를 보이고 있으며, RSI 53.61로 과매수 부담 없이 강세 진입 구간입니다. 감성분석 긍정적이고 골든크로스 유효하며, 현재가가 SMA20 근처에서 눌림목 매수 기회로 판단됩니다.","VIX 24.2로 시장 불안감이 다소 높은 상태이며, 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 데이터 이상 가능성이 있고, MACD가 전 종목 매수신호 미발생 상태로 단기 모멘텀이 부재한 환경입니다.",0.3552,3.76,53.61,39.62,24.23,2026-03-12T12:42:19.020092+00:00,2026-03-12T23:35:11.798827+00:00
70,2026-03-12,COST,코스트코,HOLD,"골든크로스와 RSI 강세 진입은 긍정적이나, ADX 18.82로 추세가 약하고 MACD가 시그널선 하회 중이며, $992 수준의 고가 종목 특성상 VIX 24 환경에서 변동성 리스크가 크므로 추세 확인 후 진입이 바람직합니다.","VIX 24.2로 시장 불안감이 다소 높은 상태이며, 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 데이터 이상 가능성이 있고, MACD가 전 종목 매수신호 미발생 상태로 단기 모멘텀이 부재한 환경입니다.",0.3387,5.52,51.7,18.82,24.23,2026-03-12T12:42:19.251597+00:00,2026-03-12T23:35:12.01352+00:00
71,2026-03-12,AMAT,어플라이드 머티리얼즈,HOLD,"현재가($351.07)가 SMA20($360.15)을 크게 하회하여 골든크로스의 유효성이 의심되며, MACD가 -2.38로 시그널선 대비 큰 폭 하회 중이어서 단기 하락 모멘텀이 강합니다. 반도체 섹터 변동성이 높은 시점에서 추가 하락 가능성을 배제할 수 없습니다.","VIX 24.2로 시장 불안감이 다소 높은 상태이며, 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 데이터 이상 가능성이 있고, MACD가 전 종목 매수신호 미발생 상태로 단기 모멘텀이 부재한 환경입니다.",0.3241,3.41,51.96,23.5,24.23,2026-03-12T12:42:19.482525+00:00,2026-03-12T23:35:12.248178+00:00
77,2026-03-13,NFLX,넷플릭스,BUY,"종합점수 최고(0.50), ML 상승확률 21.45%로 가장 높고, 골든크로스 유효(현재가 94.31 > SMA20 92.08), RSI 60으로 강세 진입 구간이며 ADX 35로 강한 추세가 확인됩니다. MACD 매수신호 미발생과 거래량 부재가 우려되나, 추세 강도와 상승 여력을 감안하면 진입 가치가 있습니다.","VIX 27.29로 시장 불안감이 높은 상태이며, 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 비정상적으로 낮아 유동성 리스크가 존재합니다. MACD가 전 종목에서 매수신호를 보이지 않고 있어 단기 모멘텀이 부재한 환경입니다.",0.5006,21.45,60.03,35.12,27.29,2026-03-13T12:50:53.729243+00:00,2026-03-13T23:33:29.923451+00:00
78,2026-03-13,AMAT,어플라이드 머티리얼즈,HOLD,"골든크로스가 발생했으나 현재가(337.27)가 SMA20(358.25)을 크게 하회하여 골든크로스 신호의 유효성이 의심됩니다. RSI 46.89로 중립, MACD도 음수(-3.0)로 하락 모멘텀이 남아있어 추가 하락 가능성이 있습니다.","VIX 27.29로 시장 불안감이 높은 상태이며, 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 비정상적으로 낮아 유동성 리스크가 존재합니다. MACD가 전 종목에서 매수신호를 보이지 않고 있어 단기 모멘텀이 부재한 환경입니다.",0.4661,13.44,46.89,23.09,27.29,2026-03-13T12:50:53.946502+00:00,2026-03-13T23:33:30.234732+00:00
79,2026-03-13,HON,허니웰 인터내셔널,HOLD,"현재가(233.40)가 SMA20(241.08)과 SMA50(236.39) 모두 하회하여 골든크로스에도 불구하고 가격이 이동평균선 아래로 이탈한 상태입니다. ML 상승확률 4.8%로 매우 낮고, MACD 음수 전환으로 단기 하락 압력이 존재합니다.","VIX 27.29로 시장 불안감이 높은 상태이며, 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 비정상적으로 낮아 유동성 리스크가 존재합니다. MACD가 전 종목에서 매수신호를 보이지 않고 있어 단기 모멘텀이 부재한 환경입니다.",0.3534,4.8,45.94,35.86,27.29,2026-03-13T12:50:54.14125+00:00,2026-03-13T23:33:30.479395+00:00
80,2026-03-13,AMGN,암젠,HOLD,"ADX 19.25로 추세가 약하여 방향성 없는 횡보 구간에 있으며, MACD가 시그널선 아래로 하락 중(0.99 vs 2.78)입니다. ML 상승확률 6.67%로 낮고, VIX가 높은 환경에서 추세 약한 종목 진입은 리스크 대비 보상이 불리합니다.","VIX 27.29로 시장 불안감이 높은 상태이며, 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 비정상적으로 낮아 유동성 리스크가 존재합니다. MACD가 전 종목에서 매수신호를 보이지 않고 있어 단기 모멘텀이 부재한 환경입니다.",0.3361,6.67,48.61,19.25,27.29,2026-03-13T12:50:54.337402+00:00,2026-03-13T23:33:30.718749+00:00
81,2026-03-13,PEP,펩시코,HOLD,"현재가(158.86)가 SMA20(164.51)과 SMA50(161.47) 모두 하회하여 골든크로스 신호가 무력화된 상태입니다. ML 상승확률 4.93%로 낮고, MACD가 음수(-0.95)로 하락 모멘텀이 지속되고 있어 바닥 확인 전까지 관망이 적절합니다.","VIX 27.29로 시장 불안감이 높은 상태이며, 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 비정상적으로 낮아 유동성 리스크가 존재합니다. MACD가 전 종목에서 매수신호를 보이지 않고 있어 단기 모멘텀이 부재한 환경입니다.",0.3105,4.93,43.76,22.61,27.29,2026-03-13T12:50:54.522439+00:00,2026-03-13T23:33:30.975973+00:00
87,2026-03-16,AMAT,어플라이드 머티리얼즈,BUY,"ML 상승확률 10.11%로 후보 중 가장 높고, 골든크로스가 유효하며 현재가(341.53)가 SMA50(344.93) 부근에서 지지를 테스트 중이다. MACD가 하락세이나 RSI 48.56은 중립으로 하방 과매도 리스크가 낮고, 반도체 장비 섹터의 구조적 수요를 감안하면 현 가격대에서 진입 매력이 있다.","VIX 27.19는 시장 불안이 상당히 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 기록되어 데이터 신뢰성에 의문이 있으며, MACD 매수신호도 대부분 부재하여 기술적 모멘텀이 약하다.",0.4195,10.11,48.56,21.36,27.19,2026-03-16T11:42:59.170137+00:00,2026-03-16T23:30:40.398384+00:00
88,2026-03-16,AMGN,암젠,HOLD,"골든크로스가 형성되었으나 현재가(366.21)가 SMA20(376.28)을 크게 하회하여 골든크로스의 유효성이 의심되며, ADX 18.2로 추세가 약해 횡보 가능성이 높다. MACD도 시그널선 아래에 있어 단기 모멘텀이 부정적이다.","VIX 27.19는 시장 불안이 상당히 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 기록되어 데이터 신뢰성에 의문이 있으며, MACD 매수신호도 대부분 부재하여 기술적 모멘텀이 약하다.",0.3373,7.15,47.52,18.2,27.19,2026-03-16T11:42:59.434448+00:00,2026-03-16T23:30:40.711004+00:00
89,2026-03-16,CMCSA,컴캐스트,HOLD,"상승확률 5.92%로 낮고, ADX 13.88은 뚜렷한 추세 부재를 나타내며, 감성분석 점수도 0.136으로 후보 중 가장 낮다. 현재가(30.16)가 SMA20(31.03)과 SMA50(30.89) 모두 하회하여 골든크로스에도 불구하고 가격이 이탈한 상태로 신호 신뢰도가 낮다.","VIX 27.19는 시장 불안이 상당히 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 기록되어 데이터 신뢰성에 의문이 있으며, MACD 매수신호도 대부분 부재하여 기술적 모멘텀이 약하다.",0.3272,5.92,44.43,13.88,27.19,2026-03-16T11:42:59.777993+00:00,2026-03-16T23:30:40.914114+00:00
90,2026-03-16,COST,코스트코,BUY,"유일하게 MACD 매수신호가 발생했고, RSI 57.16으로 강세 진입 구간이며, 현재가(1008.43)가 SMA20(1001.50)과 SMA50(991.41) 모두 상회하여 기술적 구조가 가장 건전하다. 상승확률은 2.42%로 낮지만, 방어적 소비재 특성상 VIX 27 환경에서 포트폴리오 안정성을 제공하며 기술적 점수 1.0은 후보 중 최고이다.","VIX 27.19는 시장 불안이 상당히 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 모든 후보 종목의 거래량이 5일 평균 대비 0.0배로 기록되어 데이터 신뢰성에 의문이 있으며, MACD 매수신호도 대부분 부재하여 기술적 모멘텀이 약하다.",0.3023,2.42,57.16,15.77,27.19,2026-03-16T11:42:59.996559+00:00,2026-03-16T23:30:41.114946+00:00
95,2026-03-17,COST,코스트코,HOLD,"골든크로스가 형성되었으나 ADX 15.49로 추세가 매우 약하고, MACD 매수신호도 미발생 상태이며, FOMC가 오늘-내일 진행 중이므로 결과 확인 후 진입이 합리적이다. 거래량도 극히 낮아(0.0배) 매수세 확인이 불가하다.","VIX 23.5는 시장 불안이 다소 높은 수준으로, 공격적 매수보다는 선별적 접근이 필요한 환경이다. 3월 FOMC(3/17-18)가 바로 오늘-내일 진행 중이므로 매크로 이벤트 리스크가 매우 높아 신규 매수에 극도로 신중해야 한다.",0.3304,5.27,54.29,15.49,23.51,2026-03-17T13:05:16.855553+00:00,2026-03-17T23:33:13.126197+00:00
96,2026-03-17,GOOG,구글 C,HOLD,"MACD 매수신호가 발생했고 ADX 28.6으로 추세 강도는 양호하나, 현재가(304.42)가 SMA50(314.82) 대비 약 3.3% 하회하여 데드크로스 상태이고 RSI도 43.6으로 모멘텀이 부족하다. FOMC 이벤트 리스크와 결합하면 진입 시점이 아니다.","VIX 23.5는 시장 불안이 다소 높은 수준으로, 공격적 매수보다는 선별적 접근이 필요한 환경이다. 3월 FOMC(3/17-18)가 바로 오늘-내일 진행 중이므로 매크로 이벤트 리스크가 매우 높아 신규 매수에 극도로 신중해야 한다.",0.3188,3.35,43.64,28.62,23.51,2026-03-17T13:05:17.095263+00:00,2026-03-17T23:33:13.448426+00:00
